step,version,age,batch,loss,pg_loss,kl_loss,adv_mean,reward,eval_reward,rollout/n_total,rollout/n_appended,rollout/n_eos,rollout/n_budget,rollout/n_loop,rollout/n_invalid,rollout/n_empty,rollout/valid_rate,rollout/generated_tokens,rollout/valid_tokens,rollout/wall_time,rollout/rollout_tokens,rollout/expected_rollout_tokens,rollout/budgets_used,rollout/teacher_forward_tokens,rollout/loop_periods,rollout/temperature,rollout/repetition_penalty,rollout/loop_min_len,rollout/source,rollout/budget_utilization,rollout/truncation_rate,rollout/loop_rate,rollout/eos_rate,rollout/accuracy_proxy,rollout/raw_tok_per_sec,rollout/valid_tok_per_sec,rollout/useful_per_token,hit_rate,refresh_age_p95,reuse_p95,max_length_ratio,cache_health/status,cache_health/reason,lookup/total,lookup/hit,lookup/miss,lookup/invalid,lookup/duplicate,lookup/hit_rate,refresh_train/skipped,refresh_train/skip_reason,refresh_pool/size,pool
0,1,1,2,0.5000509023666382,0.5000509023666382,9.143202861494615e-10,-0.8828125,-0.8828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,1.8589396476745605,0.5495765805244446,2.6187260150909424,-0.6640625,-0.58984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,3,2,1.7696218490600586,0.4552893340587616,2.628664970397949,-0.365234375,-0.291015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,4,2,1.4308016300201416,0.4486420750617981,1.9643189907073975,-0.6171875,-0.341796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,5,2,1.369640827178955,0.581580400466919,1.5761208534240723,-0.85546875,-0.63671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,6,2,1.7509961128234863,0.6345083117485046,2.232975482940674,-0.59765625,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,6,2,1.3436614274978638,0.6268724203109741,1.4335780143737793,-0.474609375,-0.5703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,7,2,1.1479368209838867,0.37308430671691895,1.5497050285339355,-0.3203125,-0.37109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,7,2,1.193669080734253,0.5307764410972595,1.3257853984832764,-0.384765625,-0.482421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,8,2,0.9075373411178589,0.3002716600894928,1.214531421661377,-0.24609375,-0.333984375,-0.4244546964764595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,9,2,0.9692345857620239,0.4321040213108063,1.07426118850708,-0.4140625,-0.486328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,9,2,1.2752866744995117,0.5384680032730103,1.473637342453003,-0.83984375,-0.71484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,9,2,1.2031946182250977,0.46004992723464966,1.4862892627716064,-0.5625,-0.484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,9,2,1.1117208003997803,0.46355199813842773,1.2963374853134155,-0.578125,-0.5078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,9,2,0.9655629396438599,0.4822683036327362,0.9665893316268921,-0.60546875,-0.578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,10,2,1.1540982723236084,0.513593316078186,1.2810100317001343,-0.69140625,-0.6640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,10,2,1.4083657264709473,0.4160616099834442,1.9846081733703613,-0.421875,-0.51953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,10,2,0.9740283489227295,0.37582242488861084,1.1964118480682373,-0.373046875,-0.462890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,9,2,1.0357675552368164,0.38791170716285706,1.295711636543274,-0.43359375,-0.50390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,10,2,1.0051649808883667,0.40933433175086975,1.1916612386703491,-0.447265625,-0.466796875,-0.4999500773847103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,10,2,0.768094003200531,0.3912103772163391,0.7537672519683838,-0.455078125,-0.5078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,10,2,1.083644151687622,0.3397538959980011,1.4877804517745972,-0.455078125,-0.431640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,10,2,0.9223940372467041,0.3036017119884491,1.2375845909118652,-0.283203125,-0.25390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,9,2,1.1094890832901,0.5322083234786987,1.1545615196228027,-0.796875,-0.60546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,10,2,1.2699480056762695,0.4853377640247345,1.5692205429077148,-0.703125,-0.53515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,10,2,0.8846510052680969,0.37226706743240356,1.0247678756713867,-0.41796875,-0.35546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,10,2,1.0000205039978027,0.42786866426467896,1.144303560256958,-0.5703125,-0.51171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,10,2,0.8996269106864929,0.4855148196220398,0.8282241821289062,-0.7578125,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,9,2,1.0501515865325928,0.5322818756103516,1.0357393026351929,-0.7421875,-0.828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,10,2,0.8620061874389648,0.44577938318252563,0.8324536681175232,-0.65234375,-0.79296875,-0.5471732392907143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,10,2,0.7480982542037964,0.3684483468532562,0.7592997550964355,-0.478515625,-0.56640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,10,2,0.9649028778076172,0.4079531133174896,1.1138995885849,-0.48046875,-0.53515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33,9,2,0.8798913955688477,0.36807578802108765,1.02363121509552,-0.421875,-0.47265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,9,2,0.85419762134552,0.30226728320121765,1.10386061668396,-0.3671875,-0.380859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,10,2,0.7875216007232666,0.3766917288303375,0.8216596841812134,-0.466796875,-0.474609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,10,2,0.7316389083862305,0.36821043491363525,0.7268569469451904,-0.5625,-0.51171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,10,2,0.7285079956054688,0.38682302832603455,0.6833698749542236,-0.546875,-0.4765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,10,2,0.9559288024902344,0.41442951560020447,1.082998514175415,-0.5703125,-0.494140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,9,2,0.9536495208740234,0.42317721247673035,1.0609445571899414,-0.60546875,-0.58203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,10,2,0.7291933298110962,0.3072216510772705,0.8439433574676514,-0.41796875,-0.36328125,-0.5442320480942726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
