step,version,age,batch,loss,pg_loss,kl_loss,adv_mean,reward,eval_reward,rollout/n_total,rollout/n_appended,rollout/n_eos,rollout/n_budget,rollout/n_loop,rollout/n_invalid,rollout/n_empty,rollout/valid_rate,rollout/generated_tokens,rollout/valid_tokens,rollout/wall_time,rollout/rollout_tokens,rollout/expected_rollout_tokens,rollout/budgets_used,rollout/teacher_forward_tokens,rollout/loop_periods,rollout/temperature,rollout/repetition_penalty,rollout/loop_min_len,rollout/source,rollout/budget_utilization,rollout/truncation_rate,rollout/loop_rate,rollout/eos_rate,rollout/accuracy_proxy,rollout/raw_tok_per_sec,rollout/valid_tok_per_sec,rollout/useful_per_token,hit_rate,refresh_age_p95,reuse_p95,max_length_ratio,cache_health/status,cache_health/reason,lookup/total,lookup/hit,lookup/miss,lookup/invalid,lookup/duplicate,lookup/hit_rate,refresh_train/skipped,refresh_train/skip_reason,refresh_pool/size,pool
0,1,1,2,0.5000509023666382,0.5000509023666382,9.143202861494615e-10,-0.8828125,-0.8828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,1.8539347648620605,0.5497210025787354,2.6084275245666504,-0.6640625,-0.58984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,3,2,1.7828633785247803,0.4584410786628723,2.6488447189331055,-0.365234375,-0.30078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,4,2,1.4605495929718018,0.4390961527824402,2.0429067611694336,-0.61328125,-0.31640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,5,2,1.3842253684997559,0.5787875056266785,1.6108758449554443,-0.859375,-0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,6,2,1.780766487121582,0.665020227432251,2.231492519378662,-0.85546875,-0.921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,6,2,2.1970553398132324,0.5996944308280945,3.1947219371795654,-0.3203125,-0.515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,6,2,1.848601222038269,0.6371757984161377,2.4228508472442627,-0.328125,-0.72265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,6,2,1.679560899734497,0.5084893107414246,2.3421430587768555,-0.33203125,-0.6953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,6,2,1.2098784446716309,0.4106174111366272,1.5985219478607178,-0.486328125,-0.50390625,-0.46960780024528503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,6,2,1.5684008598327637,0.626044750213623,1.8847122192382812,-1.0234375,-0.6171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,7,2,1.4687819480895996,0.49338462948799133,1.9507946968078613,-0.5625,-0.310546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,7,2,1.1095433235168457,0.5459131598472595,1.1272602081298828,-0.8046875,-0.396484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,8,2,1.36252760887146,0.5519992113113403,1.6210569143295288,-0.875,-0.4296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,8,2,1.2135863304138184,0.5241730213165283,1.37882661819458,-0.84375,-0.478515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,8,2,1.057410478591919,0.5034583806991577,1.1079041957855225,-0.82421875,-0.51953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
