step,version,age,batch,loss,pg_loss,kl_loss,adv_mean,reward,eval_reward,rollout/n_total,rollout/n_appended,rollout/n_eos,rollout/n_budget,rollout/n_loop,rollout/n_invalid,rollout/n_empty,rollout/valid_rate,rollout/generated_tokens,rollout/valid_tokens,rollout/wall_time,rollout/rollout_tokens,rollout/expected_rollout_tokens,rollout/budgets_used,rollout/teacher_forward_tokens,rollout/loop_periods,rollout/temperature,rollout/repetition_penalty,rollout/loop_min_len,rollout/source,rollout/budget_utilization,rollout/truncation_rate,rollout/loop_rate,rollout/eos_rate,rollout/accuracy_proxy,rollout/raw_tok_per_sec,rollout/valid_tok_per_sec,rollout/useful_per_token,hit_rate,refresh_age_p95,reuse_p95,max_length_ratio,cache_health/status,cache_health/reason,lookup/total,lookup/hit,lookup/miss,lookup/invalid,lookup/duplicate,lookup/hit_rate,refresh_train/skipped,refresh_train/skip_reason,refresh_pool/size,pool
0,1,1,2,0.5000509023666382,0.5000509023666382,9.143202861494615e-10,-0.8828125,-0.8828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,0.8112079501152039,0.5496749877929688,2.6153295040130615,-0.6640625,-0.58984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,3,2,0.6788891553878784,0.40817731618881226,2.707118511199951,-0.365234375,-0.287109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,4,2,0.6419436931610107,0.4276752471923828,2.1426844596862793,-0.61328125,-0.26953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,5,2,0.734117865562439,0.5623672008514404,1.7175068855285645,-0.85546875,-0.59375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,6,2,0.7116764187812805,0.47927480936050415,2.3240160942077637,-0.58984375,-0.474609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,6,2,0.5943161249160767,0.4399244487285614,1.5439170598983765,-0.5390625,-0.306640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,6,2,0.671980619430542,0.46877050399780273,2.0321009159088135,-0.353515625,-0.3828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,6,2,0.6780006289482117,0.4489583969116211,2.2904224395751953,-0.388671875,-0.328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,6,2,0.6519454717636108,0.49157020449638367,1.6037523746490479,-0.80859375,-0.3671875,-0.3183265649713576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,7,2,0.6171017289161682,0.42924827337265015,1.8785344362258911,-0.59375,-0.443359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,7,2,0.6782450675964355,0.40101388096809387,2.7723121643066406,-0.44921875,-0.369140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,7,2,0.42953842878341675,0.2874261438846588,1.4211230278015137,-0.236328125,-0.345703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,7,2,0.6963988542556763,0.49571022391319275,2.0068864822387695,-0.404296875,-0.72265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,8,2,0.4493623375892639,0.29300227761268616,1.5636005401611328,-0.302734375,-0.58203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,8,2,0.456210732460022,0.3112226724624634,1.449880599975586,-0.283203125,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,8,2,0.5503416061401367,0.41842028498649597,1.3192132711410522,-0.49609375,-0.7421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,9,2,0.401093989610672,0.29631051421165466,1.0478346347808838,-0.265625,-0.384765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,9,2,0.4354158639907837,0.2560966908931732,1.7931917905807495,-0.2265625,-0.318359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,10,2,0.4719260334968567,0.3299762010574341,1.4194984436035156,-0.41015625,-0.453125,-0.3539024228230119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,10,2,0.41341179609298706,0.2602325975894928,1.5317919254302979,-0.2734375,-0.25390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,10,2,0.5189450979232788,0.36997339129447937,1.4897173643112183,-0.6328125,-0.5078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,9,2,0.3591918647289276,0.26310062408447266,0.9609124660491943,-0.48828125,-0.314453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,10,2,0.5656232237815857,0.4272960126399994,1.3832719326019287,-0.69140625,-0.63671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,10,2,0.5022789239883423,0.28190720081329346,2.203716993331909,-0.32421875,-0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
