step,version,age,batch,loss,pg_loss,kl_loss,adv_mean,reward,rollout/n_total,rollout/n_appended,rollout/n_eos,rollout/n_budget,rollout/n_loop,rollout/n_invalid,rollout/n_empty,rollout/valid_rate,rollout/generated_tokens,rollout/valid_tokens,rollout/wall_time,rollout/rollout_tokens,rollout/expected_rollout_tokens,rollout/budgets_used,rollout/teacher_forward_tokens,rollout/loop_periods,rollout/temperature,rollout/repetition_penalty,rollout/loop_min_len,rollout/source,rollout/budget_utilization,rollout/truncation_rate,rollout/loop_rate,rollout/eos_rate,rollout/accuracy_proxy,rollout/raw_tok_per_sec,rollout/valid_tok_per_sec,rollout/useful_per_token,hit_rate,refresh_age_p95,reuse_p95,max_length_ratio,cache_health/status,cache_health/reason,lookup/total,lookup/hit,lookup/miss,lookup/invalid,lookup/duplicate,lookup/hit_rate,refresh_train/skipped,refresh_train/skip_reason,refresh_pool/size,pool
0,1,1,2,0.271320104598999,0.271320104598999,-2.8797630946542085e-11,-0.3671875,-0.3671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,2.15154767036438,0.44582581520080566,3.4114437103271484,-0.51171875,-0.314453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,3,2,1.9085538387298584,0.5204732418060303,2.7761611938476562,-0.78125,-0.34765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,4,2,1.397212028503418,0.39139610528945923,2.011631727218628,-0.498046875,-0.3359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,5,2,1.8471291065216064,0.4902530014514923,2.713752269744873,-0.625,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,6,2,1.3284213542938232,0.4943375885486603,1.6681674718856812,-0.62109375,-0.455078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,6,2,1.5416696071624756,0.5918538570404053,1.8996315002441406,-0.2001953125,-0.1884765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,7,2,1.0887138843536377,0.5213437080383301,1.1347403526306152,-0.40625,-0.5546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,7,2,1.1831083297729492,0.5578984022140503,1.2504197359085083,-0.5234375,-0.765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,7,2,0.9985262751579285,0.3446497321128845,1.307753086090088,-0.36328125,-0.380859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,8,2,1.3626375198364258,0.43782442808151245,1.849626064300537,-0.50390625,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,9,2,1.141426920890808,0.5270359516143799,1.2287819385528564,-0.63671875,-0.59765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,10,2,0.7908229231834412,0.3777666687965393,0.8261125087738037,-0.388671875,-0.4765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,10,2,1.1189913749694824,0.5221905708312988,1.1936016082763672,-0.640625,-0.57421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,10,2,1.0181055068969727,0.24960896372795105,1.5369930267333984,-0.220703125,-0.2333984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,10,2,1.026955008506775,0.427114874124527,1.1996803283691406,-0.5078125,-0.478515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,9,2,1.0478330850601196,0.370930552482605,1.3538050651550293,-0.50390625,-0.52734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,10,2,0.8770908117294312,0.39395013451576233,0.9662812948226929,-0.515625,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,10,2,0.8143019676208496,0.38576740026474,0.857069194316864,-0.5234375,-0.70703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,10,2,0.9368834495544434,0.29521501064300537,1.283336877822876,-0.31640625,-0.400390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,8,8,0,8,0,0,0,1.0,4096,4096,2.4439160153269768,4096,4096,4096,8192,"(2, 3, 4)",0.7,1.0,8,student,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,,,,4096,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1675.9986735681616,1675.9986735681616,0.001953125,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,,,,4096,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1675.9986735681616,1675.9986735681616,0.001953125,1.0,0,0,0,HEALTHY,,0,0,0,0,0,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,8,
20,21,0,2,0.6267009973526001,0.32528653740882874,0.602828860282898,-0.5415414571762085,-0.5415414571762085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refresh
21,22,0,2,0.7267109155654907,0.3586896061897278,0.7360426187515259,-0.6572009325027466,-0.6436895728111267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refresh
22,23,0,2,0.5900241136550903,0.1799539029598236,0.8201404809951782,-0.2302066683769226,-0.2357964813709259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refresh
23,24,0,2,0.7406255602836609,0.3959927558898926,0.6892656087875366,-0.581639289855957,-0.7195346355438232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refresh
24,25,0,2,0.6894381642341614,0.4055274724960327,0.5678213834762573,-0.7126259207725525,-0.7467870712280273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refresh
